Time,Rank,Score
2018-7-19T22:24,6721,69264
2018-7-19T22:30,6556,69940
2018-7-19T22:34,6363,70645
2018-7-20T00:20,6513,70645
2018-7-20T00:28,6338,71350
2018-7-20T00:23,6209,71996
2018-7-20T00:40,6035,72701
2018-7-20T01:00,5898,73406
2018-7-20T01:05,5732,74111
2018-7-20T01:10,5590,74916
2018-7-20T01:17,5435,75492
2018-7-20T01:22,5292,76197
2018-7-20T09:52,6197,76197
2018-7-20T09:57,5761,78313
2018-7-20T10:11,5347,80429
2018-7-20T10:15,5215,81134
2018-7-20T10:18,5073,81839
2018-7-20T10:22,4933,82544
2018-7-20T10:38,4837,83249
2018-7-20T10:41,4688,83954
2018-7-20T11:45,4816,83954
2018-7-20T11:57,4698,84659
2018-7-20T12:07,4577,85276
2018-7-20T12:13,4441,85981
2018-7-20T12:17,4305,86686
2018-7-20T12:23,4179,87391
2018-7-20T12:27,4061,88096
2018-7-20T12:31,3936,88801
2018-7-20T12:35,3818,89506
2018-7-20T14:55,4004,89506
2018-7-20T15:04,3895,90211
2018-7-20T15:10,3780,90887
2018-7-20T15:48,3803,90887
2018-7-20T15:59,3831,90887
2018-7-20T16:04,3725,91592
2018-7-20T16:17,3633,92297
2018-7-20T17:44,3727,92297
2018-7-20T18:00,3747,92297
2018-7-20T18:04,3649,92955
2018-7-20T19:24,3766,92955
2018-7-20T23:03,4081,93067
2018-7-21T09:59,5312,93067
2018-7-21T10:06,4936,95183
2018-7-21T10:12,4581,97211
2018-7-21T10:16,4464,97916
2018-7-21T10:37,4514,97916
2018-7-21T10:43,4410,98592
2018-7-21T12:31,4623,98592
2018-7-21T12:34,4518,99297
2018-7-21T12:39,4406,100002
2018-7-21T12:43,4298,100707
2018-7-21T12:47,4160,101412
2018-7-21T12:52,4035,102117
2018-7-21T12:58,3927,102822
2018-7-21T13:10,3829,103527
2018-7-21T14:08,3907,103527
2018-7-21T15:09,3996,103527
2018-7-21T15:20,3915,104232
2018-7-21T16:38,4120,104232
2018-7-21T23:21,4458,104937
2018-7-21T23:37,4250,106347
2018-7-21T23:41,4120,107052
2018-7-21T23:46,4032,107757
2018-7-22T00:49,4113,107757
2018-7-22T01:07,4135,107757
2018-7-22T02:14,4238,107757
2018-7-22T02:31,4259,107757
2018-7-22T14:16,5207,109873
2018-7-22T14:19,4907,111989
2018-7-22T14:24,4804,112694
2018-7-22T14:29,4695,113399
2018-7-22T14:33,4587,114104
2018-7-22T14:37,4479,114809
2018-7-22T14:40,4370,115514
2018-7-22T14:45,4274,116219
2018-7-22T14:50,4159,116924
2018-7-22T18:23,4435,116924
2018-7-22T18:33,4435,116924
2018-7-22T18:38,4340,117629
2018-7-22T18:56,4273,118334
2018-7-22T19:00,4171,119039
2018-7-22T19:04,4060,119744
2018-7-22T19:07,3964,120449
2018-7-22T19:11,3864,121151
2018-7-22T19:15,3767,121859
2018-7-22T19:26,3685,122564
2018-7-22T19:30,3597,123269
2018-7-22T19:34,3505,123945
2018-7-22T19:38,3415,124621
2018-7-22T19:48,3330,125326
2018-7-22T19:54,3249,126002
2018-7-22T20:01,3177,126707
2018-7-22T20:10,3122,127412
2018-7-22T20:13,3044,128117
2018-7-22T20:18,2971,128822
2018-7-22T20:25,2912,129498
2018-7-22T20:35,2858,130174
2018-7-22T20:41,2800,130832
2018-7-22T20:46,2744,131537
2018-7-22T22:03,2748,132242
2018-7-22T22:13,2680,132947
2018-7-22T22:54,2645,133652
2018-7-22T23:28,2626,134357
2018-7-22T23:32,2566,135062
2018-7-22T23:36,2526,135767
2018-7-22T23:40,2485,136472
2018-7-22T23:45,2446,137130
2018-7-22T23:50,2408,137835
2018-7-23T09:00,2861,137835
2018-7-23T09:48,2691,139951
2018-7-23T09:52,2538,142067
2018-7-23T09:57,2493,142772
2018-7-23T10:03,2444,143477
2018-7-23T10:23,2460,143477
2018-7-23T12:20,2546,143477
2018-7-23T12:27,2500,144153
2018-7-23T12:35,2445,144858
2018-7-23T12:44,2405,145534
2018-7-23T12:52,2370,146239
2018-7-23T12:59,2340,146944
2018-7-23T13:30,2350,146944
2018-7-23T14:35,2374,146944
2018-7-23T14:56,2334,147649
2018-7-23T15:16,2338,147649
2018-7-23T15:20,2297,148354
2018-7-23T16:54,2319,148354
2018-7-23T17:06,2293,149059
2018-7-23T17:31,2303,149059
2018-7-23T17:42,2278,149735
2018-7-23T17:48,2238,150440
2018-7-23T17:54,2203,151145
2018-7-23T18:01,2159,151850
2018-7-23T18:55,2175,151850
2018-7-23T19:01,2147,152555
2018-7-23T19:07,2116,153231
2018-7-23T19:11,2083,153936
2018-7-23T19:15,2060,154641
2018-7-23T19:20,2026,155346
2018-7-23T19:27,2009,156051
2018-7-23T19:32,1988,156756
2018-7-23T19:37,1959,157461
2018-7-23T19:48,1939,158137
2018-7-23T19:53,1918,158842
2018-7-23T19:58,1895,159547
2018-7-23T20:04,1874,160252
2018-7-23T20:10,1854,160957
2018-7-23T20:16,1833,161662
2018-7-23T20:20,1809,162367
2018-7-23T20:27,1789,163072
2018-7-23T21:50,1804,163072
2018-7-23T22:40,1796,163777
2018-7-23T22:43,1777,164482
