Time,Rank,Score
2018-8-14T11:37,91623,4232
2018-8-14T11:49,69016,4863
2018-8-14T17:06,72570,5568
2018-8-14T17:15,59247,6244
2018-8-14T17:08,64419,6244
2018-8-14T20:09,71436,6244
2018-8-14T20:27,61748,6920
2018-8-14T20:46,51951,7625
2018-8-14T21:05,44952,8330
2018-8-14T21:11,39133,9006
2018-8-14T21:51,35541,9682
2018-8-14T21:57,29234,10358
2018-8-14T22:02,24454,11063
2018-8-15T00:11,28964,11063
2018-8-15T00:23,21217,12385
2018-8-15T00:36,14840,14500
2018-8-15T00:41,13464,15205
2018-8-15T00:46,12035,15910
2018-8-15T00:51,11118,16586
2018-8-15T01:46,11679,16586
2018-8-15T04:06,11857,18702
2018-8-15T04:48,8659,21494
2018-8-15T06:47,10202,21494
2018-8-15T12:09,15229,21494
2018-8-15T12:21,13975,22170
2018-8-15T12:25,12936,22875
2018-8-15T13:25,12518,23580
2018-8-15T13:54,11936,24285
2018-8-15T14:19,11402,24961
2018-8-15T16:44,12438,24961
2018-8-15T17:04,11274,25666
2018-8-15T17:13,10660,26432
2018-8-15T17:39,10255,26906
2018-8-15T18:01,9753,27611
2018-8-15T18:10,9176,28316
2018-8-15T18:15,8686,29021
2018-8-15T18:28,8338,29726
2018-8-15T18:40,7754,30431
2018-8-15T20:30,7926,31107
2018-8-15T20:36,7524,31812
2018-8-15T21:27,7378,32517
2018-8-15T22:53,7394,33222
2018-8-15T23:35,7256,33927
2018-8-16T00:03,7076,34632
2018-8-16T00:14,6695,35337
2018-8-16T09:00,8923,37453
2018-8-16T09:04,7790,39569
2018-8-16T09:08,7379,40274
2018-8-16T09:26,7078,40979
2018-8-16T09:42,6885,41684
2018-8-16T10:01,6692,42389
2018-8-16T10:28,6517,43094
2018-8-16T11:35,6813,43094
2018-8-16T12:03,6932,43094
2018-8-16T12:18,6725,43740
2018-8-16T12:37,6549,44445
2018-8-16T12:54,6617,44445
2018-8-16T13:16,6697,44445
2018-8-16T13:27,6453,45150
2018-8-16T13:45,6195,45855
2018-8-16T14:05,6043,46560
2018-8-16T14:25,5906,47218
2018-8-16T14:32,5706,47923
2018-8-16T14:54,5745,47923
2018-8-16T15:24,5816,47923
2018-8-16T18:12,6006,48628
2018-8-16T18:35,6067,48628
2018-8-16T19:08,5974,49333
2018-8-16T19:18,5744,50038
2018-8-16T19:33,5789,50038
2018-8-16T21:59,6131,50038
2018-8-17T01:16,5024,50743
2018-8-17T01:19,4677,51448
2018-8-17T01:23,4392,52153
2018-8-17T01:28,4127,52829
2018-8-17T01:33,3783,53534
2018-8-17T01:37,3538,54239
2018-8-17T01:42,3306,54944
2018-8-17T02:09,3130,55620
2018-8-17T04:25,3642,55620
2018-8-17T04:40,3033,57736
2018-8-17T10:28,3841,57736
2018-8-17T10:39,3278,59852
2018-8-17T12:17,3309,60557
2018-8-17T13:02,3231,61233
2018-8-17T13:24,3258,61233
2018-8-17T14:19,3234,61636
2018-8-17T14:26,3092,62282
2018-8-17T14:41,2973,62987
2018-8-17T14:53,2852,63692
2018-8-17T15:05,2747,64397
2018-8-17T15:09,2638,65102
2018-8-17T15:17,2646,65102
2018-8-17T17:32,2644,65807
2018-8-17T19:11,2770,65807
2018-8-17T20:42,3051,65807
2018-8-17T21:15,3104,65807
2018-8-17T21:48,3150,65807
2018-8-18T07:47,4090,66512
2018-8-18T07:55,3640,68628
2018-8-18T09:11,3372,70744
